Emotions,Path
Happy,aug_1075_TAI_HAP_XX.wav
Sad,aug_1051_IEO_SAD_MD.wav
Sad,aug_1044_IEO_SAD_MD.wav
Happy,aug_1060_TAI_HAP_XX.wav
Sad,aug_1005_IWL_SAD_XX.wav
Fear,aug_1054_TAI_FEA_XX.wav
Fear,aug_1041_TAI_FEA_XX.wav
Sad,aug_1010_IWL_SAD_XX.wav
Happy,aug_1044_TSI_HAP_XX.wav
Disgust,aug_1084_IWL_DIS_XX.wav
Sad,aug_1040_IEO_SAD_HI.wav
Sad,aug_1055_IEO_SAD_HI.wav
Disgust,aug_1091_IWL_DIS_XX.wav
Happy,aug_1051_TSI_HAP_XX.wav
Fear,aug_1065_TSI_FEA_XX.wav
Fear,aug_1070_TSI_FEA_XX.wav
Fear,aug_1088_IOM_FEA_XX.wav
Happy,aug_1023_IWL_HAP_XX.wav
Fear,aug_1056_IEO_FEA_MD.wav
Fear,aug_1043_IEO_FEA_MD.wav
Happy,aug_1036_IWL_HAP_XX.wav
Happy,aug_1077_IEO_HAP_MD.wav
Neutral,aug_1008_ITS_NEU_XX.wav
Sad,aug_1053_TAI_SAD_XX.wav
Fear,aug_1002_IWL_FEA_XX.wav
Fear,aug_1017_IWL_FEA_XX.wav
Sad,aug_1046_TAI_SAD_XX.wav
Happy,aug_1062_IEO_HAP_MD.wav
Fear,aug_1047_IEO_FEA_HI.wav
Fear,aug_1052_IEO_FEA_HI.wav
Happy,aug_1066_IEO_HAP_HI.wav
Sad,aug_1062_TSI_SAD_XX.wav
Sad,aug_1077_TSI_SAD_XX.wav
Happy,aug_1073_IEO_HAP_HI.wav
Neutral,aug_1071_TAI_NEU_XX.wav
Neutral,aug_1064_TAI_NEU_XX.wav
Angry,aug_1033_TAI_ANG_XX.wav
Angry,aug_1026_TAI_ANG_XX.wav
Angry,aug_1002_TSI_ANG_XX.wav
Angry,aug_1017_TSI_ANG_XX.wav
Neutral,aug_1040_TSI_NEU_XX.wav
Neutral,aug_1055_TSI_NEU_XX.wav
Angry,aug_1031_IEO_ANG_MD.wav
Angry,aug_1024_IEO_ANG_MD.wav
Angry,aug_1065_IWL_ANG_XX.wav
Angry,aug_1070_IWL_ANG_XX.wav
Neutral,aug_1027_IWL_NEU_XX.wav
Fear,aug_1038_ITS_FEA_XX.wav
Neutral,aug_1032_IWL_NEU_XX.wav
Happy,aug_1019_ITS_HAP_XX.wav
Angry,aug_1020_IEO_ANG_HI.wav
Angry,aug_1035_IEO_ANG_HI.wav
Disgust,aug_1029_MTI_DIS_XX.wav
Fear,aug_1021_WSI_FEA_XX.wav
Fear,aug_1034_WSI_FEA_XX.wav
Neutral,aug_1087_ITH_NEU_XX.wav
Happy,aug_1015_WSI_HAP_XX.wav
Sad,aug_1062_IEO_SAD_LO.wav
Sad,aug_1077_IEO_SAD_LO.wav
Happy,aug_1090_TIE_HAP_XX.wav
Happy,aug_1085_TIE_HAP_XX.wav
Sad,aug_1026_WSI_SAD_XX.wav
Disgust,aug_1037_TIE_DIS_XX.wav
Sad,aug_1033_WSI_SAD_XX.wav
Disgust,aug_1022_TIE_DIS_XX.wav
Neutral,aug_1011_DFA_NEU_XX.wav
Neutral,aug_1004_DFA_NEU_XX.wav
Fear,aug_1065_IEO_FEA_LO.wav
Angry,aug_1053_DFA_ANG_XX.wav
Angry,aug_1046_DFA_ANG_XX.wav
Fear,aug_1070_IEO_FEA_LO.wav
Happy,aug_1044_IEO_HAP_LO.wav
Happy,aug_1051_IEO_HAP_LO.wav
Angry,aug_1046_WSI_ANG_XX.wav
Angry,aug_1053_WSI_ANG_XX.wav
Neutral,aug_1004_WSI_NEU_XX.wav
Happy,aug_1083_ITH_HAP_XX.wav
Neutral,aug_1011_WSI_NEU_XX.wav
Sad,aug_1033_DFA_SAD_XX.wav
Sad,aug_1026_DFA_SAD_XX.wav
Neutral,aug_1081_TIE_NEU_XX.wav
Angry,aug_1002_IEO_ANG_LO.wav
Fear,aug_1034_DFA_FEA_XX.wav
Fear,aug_1021_DFA_FEA_XX.wav
Angry,aug_1017_IEO_ANG_LO.wav
Disgust,aug_1024_ITH_DIS_XX.wav
Happy,aug_1015_DFA_HAP_XX.wav
Disgust,aug_1031_ITH_DIS_XX.wav
Sad,aug_1004_IWW_SAD_XX.wav
Sad,aug_1011_IWW_SAD_XX.wav
Disgust,aug_1029_WSI_DIS_XX.wav
Sad,aug_1038_TIE_SAD_XX.wav
Disgust,aug_1085_IWW_DIS_XX.wav
Disgust,aug_1090_IWW_DIS_XX.wav
Disgust,aug_1078_IEO_DIS_LO.wav
Neutral,aug_1009_ITH_NEU_XX.wav
Fear,aug_1003_IWW_FEA_XX.wav
Fear,aug_1016_IWW_FEA_XX.wav
Happy,aug_1022_IWW_HAP_XX.wav
Happy,aug_1037_IWW_HAP_XX.wav
Neutral,aug_1038_IEO_NEU_XX.wav
Happy,aug_1018_ITH_HAP_XX.wav
Disgust,aug_1029_DFA_DIS_XX.wav
Neutral,aug_1026_IWW_NEU_XX.wav
Fear,aug_1039_ITH_FEA_XX.wav
Neutral,aug_1033_IWW_NEU_XX.wav
Angry,aug_1064_IWW_ANG_XX.wav
Angry,aug_1071_IWW_ANG_XX.wav
Angry,aug_1058_TIE_ANG_XX.wav
Neutral,aug_1086_ITS_NEU_XX.wav
Disgust,aug_1078_TSI_DIS_XX.wav
Disgust,aug_1080_IOM_DIS_XX.wav
Sad,aug_1014_IOM_SAD_XX.wav
Sad,aug_1001_IOM_SAD_XX.wav
Disgust,aug_1049_TAI_DIS_XX.wav
Angry,aug_1053_MTI_ANG_XX.wav
Angry,aug_1046_MTI_ANG_XX.wav
Neutral,aug_1011_MTI_NEU_XX.wav
Neutral,aug_1004_MTI_NEU_XX.wav
Fear,aug_1013_IOM_FEA_XX.wav
Fear,aug_1006_IOM_FEA_XX.wav
Happy,aug_1032_IOM_HAP_XX.wav
Happy,aug_1027_IOM_HAP_XX.wav
Happy,aug_1082_ITS_HAP_XX.wav
Sad,aug_1033_MTI_SAD_XX.wav
Sad,aug_1026_MTI_SAD_XX.wav
Happy,aug_1015_MTI_HAP_XX.wav
Fear,aug_1034_MTI_FEA_XX.wav
Fear,aug_1021_MTI_FEA_XX.wav
Disgust,aug_1025_ITS_DIS_XX.wav
Disgust,aug_1030_ITS_DIS_XX.wav
Neutral,aug_1036_IOM_NEU_XX.wav
Neutral,aug_1023_IOM_NEU_XX.wav
Angry,aug_1074_IOM_ANG_XX.wav
Angry,aug_1061_IOM_ANG_XX.wav
Happy,aug_1013_IEO_HAP_MD.wav
Fear,aug_1066_IWL_FEA_XX.wav
Sad,aug_1037_TAI_SAD_XX.wav
Neutral,aug_1079_ITS_NEU_XX.wav
Sad,aug_1022_TAI_SAD_XX.wav
Fear,aug_1073_IWL_FEA_XX.wav
Happy,aug_1006_IEO_HAP_MD.wav
Happy,aug_1047_IWL_HAP_XX.wav
Fear,aug_1032_IEO_FEA_MD.wav
Disgust,aug_1087_TSI_DIS_XX.wav
Fear,aug_1027_IEO_FEA_MD.wav
Happy,aug_1052_IWL_HAP_XX.wav
Happy,aug_1002_IEO_HAP_HI.wav
Sad,aug_1006_TSI_SAD_XX.wav
Sad,aug_1013_TSI_SAD_XX.wav
Happy,aug_1017_IEO_HAP_HI.wav
Fear,aug_1023_IEO_FEA_HI.wav
Fear,aug_1036_IEO_FEA_HI.wav
Fear,aug_1030_TAI_FEA_XX.wav
Sad,aug_1061_IWL_SAD_XX.wav
Sad,aug_1074_IWL_SAD_XX.wav
Fear,aug_1025_TAI_FEA_XX.wav
Happy,aug_1011_TAI_HAP_XX.wav
Sad,aug_1035_IEO_SAD_MD.wav
Sad,aug_1020_IEO_SAD_MD.wav
Happy,aug_1004_TAI_HAP_XX.wav
Fear,aug_1001_TSI_FEA_XX.wav
Fear,aug_1014_TSI_FEA_XX.wav
Happy,aug_1020_TSI_HAP_XX.wav
Sad,aug_1024_IEO_SAD_HI.wav
Sad,aug_1031_IEO_SAD_HI.wav
Happy,aug_1035_TSI_HAP_XX.wav
Angry,aug_1001_IWL_ANG_XX.wav
Angry,aug_1014_IWL_ANG_XX.wav
Angry,aug_1055_IEO_ANG_MD.wav
Angry,aug_1040_IEO_ANG_MD.wav
Happy,aug_1068_ITS_HAP_XX.wav
Fear,aug_1049_ITS_FEA_XX.wav
Neutral,aug_1043_IWL_NEU_XX.wav
Neutral,aug_1056_IWL_NEU_XX.wav
Disgust,aug_1058_MTI_DIS_XX.wav
Angry,aug_1044_IEO_ANG_HI.wav
